FECHA EVENTO,ESTADO,MUNICIPIO,CORTA,LARGA,TOTAL,CARGS,GDAS,CARTS,
02/01/2013,D.F.,"IZTAPALAPA, D.F.",86,22,108,0,6,600,
02/01/2013,D.F.,"IZTAPALAPA, D.F.",43,12,55,0,6,300,
03/01/2013,D.F.,"IZTAPALAPA, D.F.",103,22,125,0,23,300,
04/01/2013,D.F.,"IZTAPALAPA, D.F.",123,37,160,0,11,400,
05/01/2013,D.F.,"IZTAPALAPA, D.F.",30,22,52,0,7,160,
08/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",76,19,95,0,14,500,
08/01/2013,D.F.,"IZTAPALAPA, D.F.",66,26,92,0,1,320,
09/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",129,35,164,0,12,1000,
10/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",104,24,128,0,14,750,
11/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",137,49,186,0,19,700,
12/01/2013,VER.,"COATZACOALCOS, VER.",1,0,1,0,0,14,
14/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",107,33,140,0,10,300,
15/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",64,25,89,0,10,250,
16/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",99,37,136,0,10,400,
16/01/2013,D.F.,"IZTAPALAPA, D.F.",6,4,10,0,0,30,
17/01/2013,D.F.,"GUSTAVO A. MADERO, D.F.",101,31,132,0,8,300,
17/01/2013,TAMPS.,"REYNOSA, TAMPS.",11,3,14,13,0,791,
17/01/2013,D.F.,"IZTAPALAPA, D.F.",6,3,9,0,1,12,
18/01/2013,D.F.,"IZTAPALAPA, D.F.",17,1,18,0,1,100,
21/01/2013,D.F.,"TLAHUAC, D.F.",28,9,37,0,9,50,
22/01/2013,D.F.,"TLAHUAC, D.F.",62,26,88,0,5,200,
23/01/2013,D.F.,"TLAHUAC, D.F.",76,27,103,0,6,100,
23/01/2013,D.F.,"IZTAPALAPA, D.F.",7,2,9,0,0,30,
24/01/2013,D.F.,"IZTAPALAPA, D.F.",38,15,53,0,3,70,
25/01/2013,D.F.,"TLAHUAC, D.F.",38,30,68,0,4,80,
25/01/2013,D.F.,"IZTAPALAPA, D.F.",4,1,5,0,0,50,
26/01/2013,QRO.,"QUERETARO, QRO.",15,10,25,0,0,0,
26/01/2013,D.F.,"IZTAPALAPA, D.F.",2,1,3,0,0,0,
26/01/2013,CHIH.,"CUAUHTÉMOC, CHIH.",0,1,1,0,0,0,
28/01/2013,D.F.,"TLAHUAC, D.F.",41,28,69,0,2,50,
29/01/2013,D.F.,"TLAHUAC, D.F.",14,10,24,0,0,20,
30/01/2013,D.F.,"TLAHUAC, D.F.",19,5,24,0,2,10,
30/01/2013,TAMPS.,"GUSTAVO DIAZ ORDAZ, TAMPS.",5,6,11,0,0,0,
31/01/2013,B.C.,"TIJUANA, B.C.",4,27,31,0,0,0,
31/01/2013,D.F.,"TLAHUAC, D.F.",11,5,16,0,0,0,
31/01/2013,B.C.,"TECATE, B.C.",1,9,10,0,0,0,
31/01/2013,B.C.,"ENSENADA, B.C.",2,4,6,0,0,0,
01/02/2013,B.C.,"TIJUANA, B.C.",7,2,9,0,0,0,
01/02/2013,B.C.,"ENSENADA, B.C.",0,3,3,0,0,0,
02/02/2013,TAMPS.,"TAMPICO, TAMPS.",5,2,7,1,0,210,
03/02/2013,TAMPS.,"TAMPICO, TAMPS.",8,0,8,0,0,0,
03/02/2013,CAMP.,"CAMP., CAMP.",4,2,6,0,0,0,
03/02/2013,TAMPS.,"ALTAMIRA, TAMPS.",2,0,2,0,0,0,
03/02/2013,JAL.,"PIHUAMO, JAL.",1,0,1,0,0,0,
04/02/2013,B.C.,"TIJUANA, B.C.",4,7,11,0,0,0,
04/02/2013,JAL.,"ATOTONILCO EL ALTO, JAL.",2,0,2,1,0,2,
05/02/2013,D.F.,"MIGUEL HGO., D.F.",29,8,37,0,3,0,
05/02/2013,D.F.,"IZTAPALAPA, D.F.",3,4,7,0,0,10,
05/02/2013,CHIH.,"CHIH., CHIH.",4,2,6,0,1,24,
05/02/2013,CHIH.,"ROSALES, CHIH.",1,1,2,1,0,92,
05/02/2013,B.C.,"TIJUANA, B.C.",1,1,2,0,0,0,
05/02/2013,JAL.,"ATOTONILCO EL ALTO, JAL.",1,0,1,0,0,0,
05/02/2013,B.C.,"ENSENADA, B.C.",0,1,1,0,0,0,
06/02/2013,D.F.,"MIGUEL HGO., D.F.",47,14,61,0,2,1800,
06/02/2013,CAMP.,"CAMP., CAMP.",10,2,12,0,0,0,
06/02/2013,D.F.,"IZTAPALAPA, D.F.",7,3,10,0,1,0,
06/02/2013,CHIH.,"CHIH., CHIH.",6,3,9,1,0,328,
06/02/2013,TAMPS.,"VICTORIA, TAMPS.",8,1,9,0,0,0,
06/02/2013,VER.,"COATZACOALCOS, VER.",7,1,8,0,0,0,
06/02/2013,B.C.,"TIJUANA, B.C.",2,2,4,0,0,0,
06/02/2013,JAL.,"ATOTONILCO EL ALTO, JAL.",1,1,2,0,0,0,
06/02/2013,B.C.,"ENSENADA, B.C.",1,1,2,0,0,0,
06/02/2013,JAL.,"AYOTLAN, JAL.",1,0,1,0,0,0,
07/02/2013,D.F.,"MIGUEL HGO., D.F.",53,13,66,0,7,0,
07/02/2013,TAMPS.,"VICTORIA, TAMPS.",13,6,19,2,1,105,
07/02/2013,CHIH.,"CHIH., CHIH.",6,3,9,0,0,0,
07/02/2013,D.F.,"IZTAPALAPA, D.F.",3,2,5,0,0,0,
07/02/2013,B.C.,"TIJUANA, B.C.",3,2,5,0,0,0,
07/02/2013,B.C.,"ENSENADA, B.C.",1,1,2,0,0,0,
08/02/2013,D.F.,"MIGUEL HGO., D.F.",53,11,64,0,7,1050,
08/02/2013,CHIH.,"CHIH., CHIH.",11,2,13,0,0,655,
08/02/2013,CAMP.,"CAMP., CAMP.",8,2,10,0,1,0,
08/02/2013,D.F.,"IZTAPALAPA, D.F.",3,4,7,0,0,120,
08/02/2013,TAMPS.,"TAMPICO, TAMPS.",5,2,7,11,2,595,
08/02/2013,TAMPS.,"VICTORIA, TAMPS.",5,1,6,0,8,0,
08/02/2013,TAMPS.,"NUEVO LAREDO, TAMPS.",0,3,3,2,0,50,
08/02/2013,B.C.,"TIJUANA, B.C.",1,2,3,0,0,0,
08/02/2013,TAMPS.,"GUSTAVO DIAZ ORDAZ, TAMPS.",0,2,2,0,0,0,
08/02/2013,JAL.,"ATOTONILCO EL ALTO, JAL.",0,2,2,0,0,0,
08/02/2013,CAMP.,"CALAKMUL, CAMP.",1,0,1,0,0,0,
08/02/2013,CHIH.,"JANOS, CHIH.",0,1,1,0,0,0,
08/02/2013,B.C.,"ENSENADA, B.C.",0,1,1,0,0,0,
09/02/2013,D.F.,"MIGUEL HGO., D.F.",57,12,69,0,6,200,
09/02/2013,TAMPS.,"MATAMOROS, TAMPS.",7,4,11,0,0,41,
09/02/2013,TAMPS.,"CIUDAD MADERO, TAMPS.",7,1,8,0,0,0,
09/02/2013,TAMPS.,"VICTORIA, TAMPS.",2,3,5,0,3,0,
09/02/2013,TAMPS.,"NUEVO LAREDO, TAMPS.",0,5,5,3,0,0,
09/02/2013,B.C.,"TIJUANA, B.C.",1,2,3,0,0,0,
09/02/2013,TAMPS.,"TAMPICO, TAMPS.",1,2,3,3,0,701,
09/02/2013,TAMPS.,"GUSTAVO DIAZ ORDAZ, TAMPS.",1,0,1,0,0,0,
10/02/2013,TAMPS.,"CIUDAD MADERO, TAMPS.",4,0,4,31,0,1270,
11/02/2013,MEX.,"NEZAHUALCOYOTL, MEX.",66,8,74,35,3,1007,
11/02/2013,MEX.,"ECATEPEC DE MOR., MEX.",22,5,27,0,3,82,
11/02/2013,MEX.,"TOLUCA, MEX.",15,4,19,10,0,367,
11/02/2013,TAMPS.,"MATAMOROS, TAMPS.",10,6,16,0,0,0,
11/02/2013,TAMPS.,"VICTORIA, TAMPS.",8,6,14,0,0,100,
11/02/2013,CHIH.,"CHIH., CHIH.",8,1,9,1,0,440,
11/02/2013,MEX.,"NAUCALPAN DE JUAREZ, MEX.",4,3,7,0,4,400,
11/02/2013,B.C.,"TIJUANA, B.C.",3,0,3,0,0,0,
11/02/2013,CHIH.,"JUÁREZ, CHIH.",0,2,2,0,0,0,
11/02/2013,CHIH.,"OJINAGA, CHIH.",2,0,2,0,0,0,
11/02/2013,JAL.,"DEGOLLADO, JAL.",2,0,2,0,0,0,
12/02/2013,MEX.,"NEZAHUALCOYOTL, MEX.",89,20,109,22,4,1166,
12/02/2013,MEX.,"ECATEPEC DE MOR., MEX.",36,11,47,0,0,361,
12/02/2013,MEX.,"TOLUCA, MEX.",25,5,30,5,0,37,
12/02/2013,D.F.,"MIGUEL HGO., D.F.",17,7,24,0,0,120,
12/02/2013,MEX.,"NAUCALPAN DE JUAREZ, MEX.",17,6,23,0,4,0,
12/02/2013,B.C.,"MEXICALI, B.C.",12,5,17,0,0,0,
12/02/2013,TAMPS.,"MATAMOROS, TAMPS.",9,7,16,0,0,0,
12/02/2013,CHIH.,"CHIH., CHIH.",6,1,7,0,2,248,
12/02/2013,CHIH.,"OJINAGA, CHIH.",2,5,7,0,0,0,
12/02/2013,CHIH.,"NUEVO CASAS GRANDES, CHIH.",6,0,6,0,0,0,
12/02/2013,VER.,"COATZACOALCOS, VER.",4,1,5,0,0,15,
12/02/2013,JAL.,"ARANDAS, JAL.",2,0,2,3,0,18,
12/02/2013,TAMPS.,"VICTORIA, TAMPS.",1,0,1,0,0,30,
12/02/2013,JAL.,"DEGOLLADO, JAL.",1,0,1,0,0,6,
13/02/2013,MEX.,"NEZAHUALCOYOTL, MEX.",117,19,136,25,7,1799,
